node	age.min	age.max	soft.bounds	event
42	435.32407462	1000	NA	R
44	351.75848322	351.75848322	NA	S
45	311.90392137	311.90392137	NA	S
46	158.59758758	158.59758758	NA	S
51	20.8874174000001	20.8874174000001	NA	S
54	1.13686837721616e-13	29.4415468200001	NA	D
55	61.9659885200001	61.9659885200001	NA	S
56	1.13686837721616e-13	77.7549564100001	NA	D
57	279.65697667	279.65697667	NA	S
59	152.58543177	152.58543177	NA	S
60	229.90276097	229.90276097	NA	S
61	152.58543177	152.58543177	NA	S
62	148	148	NA	S
66	229.90276097	229.90276097	NA	S
67	152.58543177	152.58543177	NA	S
70	119.36353222	119.36353222	NA	S
72	351.75848322	351.75848322	NA	S
73	96.4623891700001	158.59758758	NA	D
76	24.6000000000001	24.6000000000001	NA	S
77	43.1512963500001	43.1512963500001	NA	S
78	29.4415468200001	29.4415468200001	NA	S
79	82.1407988900001	82.1407988900001	NA	S
80	20.8874174000001	20.8874174000001	NA	S
81	119.36353222	119.36353222	NA	S
