event	gn_node	lower_sp_node	upper_sp_node	lower_age	upper_age	gn_node_num
D(R)	n80	n202	N/A	435.32407462	1000	42
D	n20	42	40	96.4623891700001	158.59758758	47
D	n12	43	42	89.8231874200001	96.4623891700001	49
D	n9	35	43	43.1512963500001	89.8231874200001	52
D	n8	Macaca_mulatta	27	1.13686837721616e-13	29.4415468200001	54
D	n19	Canis_lupus	8	1.13686837721616e-13	77.7549564100001	56
D	n39	10	n202	435.32407462	1000	58
D	n79	n202	N/A	435.32407462	1000	63
D	n55	10	n202	435.32407462	1000	65
D	n52	13	10	148	229.90276097	68
D	n72	42	40	96.4623891700001	158.59758758	73
D	n68	42	40	96.4623891700001	158.59758758	74
S	n40	1	1	435.32407462	435.32407462	43
S	n28	15	15	351.75848322	351.75848322	44
S	n26	17	17	311.90392137	311.90392137	45
S	n22	12	12	158.59758758	158.59758758	46
S	n16	13	13	96.4623891700001	96.4623891700001	48
S	n10	14	14	89.8231874200001	89.8231874200001	50
S	n2	18	18	20.8874174000001	20.8874174000001	51
S	n5	11	11	43.1512963500001	43.1512963500001	53
S	n15	7	7	61.9659885200001	61.9659885200001	55
S	n25	6	6	279.65697667	279.65697667	57
S	n31	3	3	152.58543177	152.58543177	59
S	n38	2	2	229.90276097	229.90276097	60
S	n34	3	3	152.58543177	152.58543177	61
S	n37	4	4	148	148	62
S	n75	1	1	435.32407462	435.32407462	64
S	n53	2	2	229.90276097	229.90276097	66
S	n43	3	3	152.58543177	152.58543177	67
S	n48	4	4	148	148	69
S	n46	5	5	119.36353222	119.36353222	70
S	n51	4	4	148	148	71
S	n74	15	15	351.75848322	351.75848322	72
S	n64	13	13	96.4623891700001	96.4623891700001	75
S	n58	20	20	24.6000000000001	24.6000000000001	76
S	n63	11	11	43.1512963500001	43.1512963500001	77
S	n61	8	8	29.4415468200001	29.4415468200001	78
S	n67	9	9	82.1407988900001	82.1407988900001	79
S	n71	18	18	20.8874174000001	20.8874174000001	80
S	n78	5	5	119.36353222	119.36353222	81
