node	age.min	age.max	soft.bounds	gn_node	event	shared_speciation_group	mirror_role	prior_emitted
14	117.028	1000	NA	n89	D(R)	NA	NA	NA
15	117.02799	999.99999	NA	n43	D	NA	NA	NA
16	117.02798	999.99998	NA	n22	D	NA	NA	NA
17	9.37999000000001	9.38000000000001	NA	n13	S	s2	NA	NA
18	117.02797	117.028	NA	n19	S	s1	NA	NA
19	9.37999000000001	9.38000000000001	NA	n16	S	s2	NA	NA
20	117.02798	117.028	NA	n40	S	s1	NA	NA
21	117.02797	117.02799	NA	n31	D	NA	NA	NA
22	9.37999000000001	9.38000000000001	NA	n25	S	s2	NA	NA
23	9.37999000000001	9.38000000000001	NA	n28	S	s2	NA	NA
24	117.02797	117.02799	NA	n37	D	NA	NA	NA
25	117.02796	117.02798	NA	n34	D	NA	NA	NA
