event	gn_node	lower_sp_node	upper_sp_node	lower_age	upper_age	gn_node_num	constraint_sp_node	shared_speciation_group
D	n54	47	n170	435.32405462	435.32406462	35	NA	NA
D	n43	42	40	158.59756758	158.59757758	39	NA	NA
D	n27	42	40	158.59755758	158.59756758	40	NA	NA
D	n23	42	40	158.59754758	158.59755758	41	NA	NA
D	n17	42	40	158.59753758	158.59754758	42	NA	NA
D	n16	Oryctolagus_cuniculus	29	158.59752758	158.59753758	47	NA	NA
D	n52	Monodelphis_domestica	40	158.59756758	158.59757758	58	NA	NA
D	n50	Monodelphis_domestica	40	158.59755758	158.59756758	59	NA	NA
D	n48	Monodelphis_domestica	40	158.59754758	158.59755758	60	NA	NA
D	n46	Monodelphis_domestica	40	158.59753758	158.59754758	61	NA	NA
S(R)	n64	'Root'	'Root'	435.32407462	435.32407462	34	'Root'	NA
S	n4	'n47'	'n47'	351.75847322	351.75848322	36	'n47'	NA
S	n2	'n19'	'n19'	279.65696667	279.65697667	37	'n19'	NA
S	n53	'n40'	'n40'	158.59757758	158.59758758	38	'n40'	NA
S	n13	'n42'	'n42'	96.4623791700001	96.4623891700001	43	'n42'	'n42'
S	n11	'n8'	'n8'	77.7549464100001	77.7549564100001	44	'n8'	NA
S	n9	'n22'	'n22'	61.9659785200001	61.9659885200001	45	'n22'	'n22'
S	n7	'n9'	'n9'	24.5999900000001	24.6000000000001	46	'n9'	NA
S	n22	'n35'	'n35'	43.1512863500001	43.1512963500001	48	'n35'	'n35'
S	n20	'n27'	'n27'	29.4415368200001	29.4415468200001	49	'n27'	'n27'
S	n26	'n6'	'n6'	20.8874074000001	20.8874174000001	50	'n6'	'n6'
S	n42	'n42'	'n42'	96.4623791700001	96.4623891700001	51	'n42'	'n42'
S	n38	'n43'	'n43'	89.8231774200001	89.8231874200001	52	'n43'	NA
S	n32	'n35'	'n35'	43.1512863500001	43.1512963500001	53	'n35'	'n35'
S	n30	'n27'	'n27'	29.4415368200001	29.4415468200001	54	'n27'	'n27'
S	n37	'n29'	'n29'	82.1407888900001	82.1407988900001	55	'n29'	NA
S	n35	'n6'	'n6'	20.8874074000001	20.8874174000001	56	'n6'	'n6'
S	n41	'n22'	'n22'	61.9659785200001	61.9659885200001	57	'n22'	'n22'
S	n63	'n10'	'n10'	229.90275097	229.90276097	62	'n10'	NA
S	n57	'n11'	'n11'	152.58542177	152.58543177	63	'n11'	NA
S	n62	'n13'	'n13'	147.99999	148	64	'n13'	NA
S	n60	'n14'	'n14'	119.36352222	119.36353222	65	'n14'	NA
