node	age.min	age.max	soft.bounds	gn_node	event	shared_speciation_group	mirror_role	prior_emitted
34	435.32407462	435.32407462	NA	n64	R	NA	NA	NA
36	351.75847322	351.75848322	TRUE	n4	S	NA	NA	NA
37	279.65696667	279.65697667	TRUE	n2	S	NA	NA	NA
38	158.59757758	158.59758758	TRUE	n53	S	NA	NA	NA
43	96.4623791700001	96.4623891700001	TRUE	n13	S	'n42'	NA	NA
44	77.7549464100001	77.7549564100001	TRUE	n11	S	NA	NA	NA
45	61.9659785200001	61.9659885200001	TRUE	n9	S	'n22'	NA	NA
46	24.5999900000001	24.6000000000001	TRUE	n7	S	NA	NA	NA
48	43.1512863500001	43.1512963500001	TRUE	n22	S	'n35'	NA	NA
49	29.4415368200001	29.4415468200001	TRUE	n20	S	'n27'	NA	NA
50	20.8874074000001	20.8874174000001	TRUE	n26	S	'n6'	NA	NA
51	96.4623791700001	96.4623891700001	TRUE	n42	S	'n42'	NA	NA
52	89.8231774200001	89.8231874200001	TRUE	n38	S	NA	NA	NA
53	43.1512863500001	43.1512963500001	TRUE	n32	S	'n35'	NA	NA
54	29.4415368200001	29.4415468200001	TRUE	n30	S	'n27'	NA	NA
55	82.1407888900001	82.1407988900001	TRUE	n37	S	NA	NA	NA
56	20.8874074000001	20.8874174000001	TRUE	n35	S	'n6'	NA	NA
57	61.9659785200001	61.9659885200001	TRUE	n41	S	'n22'	NA	NA
62	229.90275097	229.90276097	TRUE	n63	S	NA	NA	NA
63	152.58542177	152.58543177	TRUE	n57	S	NA	NA	NA
64	147.99999	148	TRUE	n62	S	NA	NA	NA
65	119.36352222	119.36353222	TRUE	n60	S	NA	NA	NA
