event	gn_node	lower_sp_node	upper_sp_node	lower_age	upper_age	gn_node_num
D	n54	47	n170	435.32407462	1000	35
D	n43	42	40	435.32407462	1000	39
D	n27	42	40	435.32407462	1000	40
D	n23	42	40	435.32407462	1000	41
D	n17	42	40	435.32407462	1000	42
D	n16	Oryctolagus_cuniculus	29	435.32407462	1000	47
D	n52	Monodelphis_domestica	40	435.32407462	1000	58
D	n50	Monodelphis_domestica	40	435.32407462	1000	59
D	n48	Monodelphis_domestica	40	435.32407462	1000	60
D	n46	Monodelphis_domestica	40	435.32407462	1000	61
S(R)	n64	'Root'	'Root'	435.32407462	435.32407462	34
S	n4	'n47'	'n47'	351.75848322	351.75848322	36
S	n2	'n19'	'n19'	279.65697667	279.65697667	37
S	n53	'n40'	'n40'	158.59758758	158.59758758	38
S	n13	'n42'	'n42'	96.4623891700001	96.4623891700001	43
S	n11	'n8'	'n8'	77.7549564100001	77.7549564100001	44
S	n9	'n22'	'n22'	61.9659885200001	61.9659885200001	45
S	n7	'n9'	'n9'	24.6000000000001	24.6000000000001	46
S	n22	'n35'	'n35'	43.1512963500001	43.1512963500001	48
S	n20	'n27'	'n27'	29.4415468200001	29.4415468200001	49
S	n26	'n6'	'n6'	20.8874174000001	20.8874174000001	50
S	n42	'n42'	'n42'	96.4623891700001	96.4623891700001	51
S	n38	'n43'	'n43'	89.8231874200001	89.8231874200001	52
S	n32	'n35'	'n35'	43.1512963500001	43.1512963500001	53
S	n30	'n27'	'n27'	29.4415468200001	29.4415468200001	54
S	n37	'n29'	'n29'	82.1407988900001	82.1407988900001	55
S	n35	'n6'	'n6'	20.8874174000001	20.8874174000001	56
S	n41	'n22'	'n22'	61.9659885200001	61.9659885200001	57
S	n63	'n10'	'n10'	229.90276097	229.90276097	62
S	n57	'n11'	'n11'	152.58543177	152.58543177	63
S	n62	'n13'	'n13'	148	148	64
S	n60	'n14'	'n14'	119.36353222	119.36353222	65
